word,input_phrase,concept
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
"legal advice for housing, land and property (hlp)","Legal advice for Housing, Land and Property (HLP)",Housing in general
eviction,"Legal advice for Housing, Land and Property (HLP)",Housing in general
desalojo,"Legal advice for Housing, Land and Property (HLP)",Housing in general
expulsion,"Legal advice for Housing, Land and Property (HLP)",Housing in general
zwangsräumung,"Legal advice for Housing, Land and Property (HLP)",Housing in general
sfratto,"Legal advice for Housing, Land and Property (HLP)",Housing in general
eksmisja,"Legal advice for Housing, Land and Property (HLP)",Housing in general
despejo,"Legal advice for Housing, Land and Property (HLP)",Housing in general
landlord,"Legal advice for Housing, Land and Property (HLP)",Housing in general
arrendador,"Legal advice for Housing, Land and Property (HLP)",Housing in general
bailleur,"Legal advice for Housing, Land and Property (HLP)",Housing in general
vermieter,"Legal advice for Housing, Land and Property (HLP)",Housing in general
locatore,"Legal advice for Housing, Land and Property (HLP)",Housing in general
wynajmujący,"Legal advice for Housing, Land and Property (HLP)",Housing in general
proprietário,"Legal advice for Housing, Land and Property (HLP)",Housing in general
tenant,"Legal advice for Housing, Land and Property (HLP)",Housing in general
inquilino,"Legal advice for Housing, Land and Property (HLP)",Housing in general
locataire,"Legal advice for Housing, Land and Property (HLP)",Housing in general
mieter,"Legal advice for Housing, Land and Property (HLP)",Housing in general
najemca,"Legal advice for Housing, Land and Property (HLP)",Housing in general
mortgage,"Legal advice for Housing, Land and Property (HLP)",Housing in general
hipoteca,"Legal advice for Housing, Land and Property (HLP)",Housing in general
hypothèque,"Legal advice for Housing, Land and Property (HLP)",Housing in general
hypothek,"Legal advice for Housing, Land and Property (HLP)",Housing in general
ipoteca,"Legal advice for Housing, Land and Property (HLP)",Housing in general
hipoteka,"Legal advice for Housing, Land and Property (HLP)",Housing in general
lease,"Legal advice for Housing, Land and Property (HLP)",Housing in general
bail,"Legal advice for Housing, Land and Property (HLP)",Housing in general
mietvertrag,"Legal advice for Housing, Land and Property (HLP)",Housing in general
najem,"Legal advice for Housing, Land and Property (HLP)",Housing in general
residential,residential,Housing in general
residencial,residential,Housing in general
résidentiel,residential,Housing in general
residenziell,residential,Housing in general
residenziale,residential,Housing in general
mieszkaniowy,residential,Housing in general
wohnung,residential,Housing in general
dwelling,dwelling,Housing in general
behausung,dwelling,Housing in general
dimora,dwelling,Housing in general
moradia,dwelling,Housing in general
residence,dwelling,Housing in general
residencia,dwelling,Housing in general
résidence,dwelling,Housing in general
residenz,dwelling,Housing in general
residenza,dwelling,Housing in general
rezydencja,dwelling,Housing in general
residência,dwelling,Housing in general
collective living quarters,collective living quarters,Housing in general
cohousing,collective living quarters,Housing in general
cohousing,collective living quarters,Housing in general
coliving,collective living quarters,Housing in general
coliving,collective living quarters,Housing in general
green housing,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
leed,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
breeam,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
passivhaus,Green Housing,Housing in general
residential dwelling energy efficiency,residential dwelling energy efficiency,Housing in general
insulation,residential dwelling energy efficiency,Housing in general
aislamiento,residential dwelling energy efficiency,Housing in general
isolation,residential dwelling energy efficiency,Housing in general
dämmung,residential dwelling energy efficiency,Housing in general
isolamento,residential dwelling energy efficiency,Housing in general
izolacja,residential dwelling energy efficiency,Housing in general
retrofit,residential dwelling energy efficiency,Housing in general
retrofit,residential dwelling energy efficiency,Housing in general
u-value,residential dwelling energy efficiency,Housing in general
valor u,residential dwelling energy efficiency,Housing in general
valeur u,residential dwelling energy efficiency,Housing in general
u-wert,residential dwelling energy efficiency,Housing in general
valore u,residential dwelling energy efficiency,Housing in general
współczynnik u,residential dwelling energy efficiency,Housing in general
valor u,residential dwelling energy efficiency,Housing in general
carbon-neutral housing,carbon-neutral housing,Housing in general
decarbonization,carbon-neutral housing,Housing in general
descarbonización,carbon-neutral housing,Housing in general
décarbonisation,carbon-neutral housing,Housing in general
dekarbonisierung,carbon-neutral housing,Housing in general
decarbonizzazione,carbon-neutral housing,Housing in general
dekarbonizacja,carbon-neutral housing,Housing in general
descarbonização,carbon-neutral housing,Housing in general
wohnungswesen,carbon-neutral housing,Housing in general
home energy use,home energy use,Housing in general
electricity,home energy use,Housing in general
electricidad,home energy use,Housing in general
électricité,home energy use,Housing in general
elektrizität,home energy use,Housing in general
elettricità,home energy use,Housing in general
elektryczność,home energy use,Housing in general
eletricidade,home energy use,Housing in general
heating,home energy use,Housing in general
calefacción,home energy use,Housing in general
chauffage,home energy use,Housing in general
heizung,home energy use,Housing in general
riscaldamento,home energy use,Housing in general
ogrzewanie,home energy use,Housing in general
aquecimento,home energy use,Housing in general
cooling,home energy use,Housing in general
refrigeración,home energy use,Housing in general
refroidissement,home energy use,Housing in general
kühlung,home energy use,Housing in general
raffreddamento,home energy use,Housing in general
chłodzenie,home energy use,Housing in general
refrigeração,home energy use,Housing in general
isolierung,home energy use,Housing in general
thermostat,home energy use,Housing in general
termostato,home energy use,Housing in general
thermostat,home energy use,Housing in general
termostat,home energy use,Housing in general
gas,home energy use,Housing in general
gaz,home energy use,Housing in general
gas,home energy use,Housing in general
gás,home energy use,Housing in general
residential housing emissions,residential housing emissions,Housing in general
rezydencjalny,residential housing emissions,Housing in general
emissions,residential housing emissions,Housing in general
emisiones,residential housing emissions,Housing in general
émissions,residential housing emissions,Housing in general
emissionen,residential housing emissions,Housing in general
emissioni,residential housing emissions,Housing in general
emisje,residential housing emissions,Housing in general
emissões,residential housing emissions,Housing in general
homeless shelters,homeless shelters,Homelessness
homeless_shelter,homeless shelters,Homelessness
refugio_para_personas_sin_hogar,homeless shelters,Homelessness
refuge_pour_sans_abri,homeless shelters,Homelessness
obdachlosenunterkunft,homeless shelters,Homelessness
rifugio_per_senza_tetto,homeless shelters,Homelessness
schronisko_dla_bezdomnych,homeless shelters,Homelessness
abrigo_para_sem_teto,homeless shelters,Homelessness
homeless encampments,homeless encampments,Homelessness
encampment,homeless encampments,Homelessness
campamento,homeless encampments,Homelessness
campement,homeless encampments,Homelessness
lager,homeless encampments,Homelessness
accampamento,homeless encampments,Homelessness
obozowisko,homeless encampments,Homelessness
acampamento,homeless encampments,Homelessness
tent,homeless encampments,Homelessness
tienda,homeless encampments,Homelessness
tente,homeless encampments,Homelessness
zelt,homeless encampments,Homelessness
tenda,homeless encampments,Homelessness
namiot,homeless encampments,Homelessness
tent cities,tent cities,Homelessness
lager,tent cities,Homelessness
tents for the homeless,tents for the homeless,Homelessness
lager,tents for the homeless,Homelessness
obóz,tents for the homeless,Homelessness
transitional housing for homeless,transitional housing for homeless,Homelessness
transitional housing,transitional housing for homeless,Homelessness
vivienda transitoria,transitional housing for homeless,Homelessness
logement transitoire,transitional housing for homeless,Homelessness
übergangsunterkunft,transitional housing for homeless,Homelessness
alloggio transitorio,transitional housing for homeless,Homelessness
mieszkanie przejściowe,transitional housing for homeless,Homelessness
moradia transitória,transitional housing for homeless,Homelessness
homeless,transitional housing for homeless,Homelessness
sin techo,transitional housing for homeless,Homelessness
sans-abri,transitional housing for homeless,Homelessness
obdachlos,transitional housing for homeless,Homelessness
senzatetto,transitional housing for homeless,Homelessness
bezdomny,transitional housing for homeless,Homelessness
sem-teto,transitional housing for homeless,Homelessness
unsheltered population,unsheltered population,Homelessness
unsheltered,unsheltered population,Homelessness
sans abri,unsheltered population,Homelessness
ohne obdach,unsheltered population,Homelessness
senza tetto,unsheltered population,Homelessness
temporary housing for homeless,temporary housing for homeless,Homelessness
refugio,temporary housing for homeless,Homelessness
obdach,temporary housing for homeless,Homelessness
sin hogar,temporary housing for homeless,Homelessness
street homelessness,street homelessness,Homelessness
obdachlosigkeit,street homelessness,Homelessness
permanent supportive housing,permanent supportive housing,Homelessness
permanent,permanent supportive housing,Homelessness
permanente,permanent supportive housing,Homelessness
dauerhaft,permanent supportive housing,Homelessness
stały,permanent supportive housing,Homelessness
supportive,permanent supportive housing,Homelessness
de apoyo,permanent supportive housing,Homelessness
de soutien,permanent supportive housing,Homelessness
unterstützend,permanent supportive housing,Homelessness
di supporto,permanent supportive housing,Homelessness
wspierające,permanent supportive housing,Homelessness
de apoio,permanent supportive housing,Homelessness
wohnung,permanent supportive housing,Homelessness
housing first programs,housing first programs,Homelessness
housing-first,housing first programs,Homelessness
vivienda-primero,housing first programs,Homelessness
logement-d'abord,housing first programs,Homelessness
wohnen-zuerst,housing first programs,Homelessness
alloggio-primo,housing first programs,Homelessness
mieszkanie-pierwsze,housing first programs,Homelessness
habitação-primeira,housing first programs,Homelessness
shelter programs for homeless,shelter programs for homeless,Homelessness
unterkunft,shelter programs for homeless,Homelessness
housing vouchers,Housing vouchers,Homelessness
voucher,Housing vouchers,Homelessness
vale,Housing vouchers,Homelessness
bon,Housing vouchers,Homelessness
gutschein,Housing vouchers,Homelessness
buono,Housing vouchers,Homelessness
dormitories,Dormitories,Homelessness
dormitory,Dormitories,Homelessness
dormitorio,Dormitories,Homelessness
dortoir,Dormitories,Homelessness
schlafsaal,Dormitories,Homelessness
dormitorium,Dormitories,Homelessness
dormitório,Dormitories,Homelessness
safe houses,Safe houses ,Homelessness
unterkunft,Safe houses ,Homelessness
housing first,Housing First,Homelessness
housingfirst,Housing First,Homelessness
vivienda primero,Housing First,Homelessness
logement d'abord,Housing First,Homelessness
wohnen zuerst,Housing First,Homelessness
alloggio prima,Housing First,Homelessness
mieszkanie przede wszystkim,Housing First,Homelessness
habitação em primeiro lugar,Housing First,Homelessness
statutory homeless,statutory homeless,Homelessness
statutory,statutory homeless,Homelessness
estatutario,statutory homeless,Homelessness
statutaire,statutory homeless,Homelessness
gesetzlich,statutory homeless,Homelessness
statutario,statutory homeless,Homelessness
ustawowy,statutory homeless,Homelessness
estatutário,statutory homeless,Homelessness
chronic homelessness,chronic homelessness,Homelessness
indigencia crónica,chronic homelessness,Homelessness
itinérance chronique,chronic homelessness,Homelessness
chronische obdachlosigkeit,chronic homelessness,Homelessness
senza fissa dimora cronica,chronic homelessness,Homelessness
chroniczna bezdomność,chronic homelessness,Homelessness
sem-teto crônico,chronic homelessness,Homelessness
hidden homelessness,hidden homelessness,Homelessness
sofasurfing,hidden homelessness,Homelessness
couchsurfing,hidden homelessness,Homelessness
indigenous homelessness,indigenous homelessness,Homelessness
indigenous,indigenous homelessness,Homelessness
indígena,indigenous homelessness,Homelessness
autochtone,indigenous homelessness,Homelessness
indigen,indigenous homelessness,Homelessness
indigeno,indigenous homelessness,Homelessness
rdzenny,indigenous homelessness,Homelessness
itinérance,indigenous homelessness,Homelessness
obdachlosigkeit,indigenous homelessness,Homelessness
sheltered homelessness,sheltered homelessness,Homelessness
obdachlosigkeit,sheltered homelessness,Homelessness
unsheltered homelessness,unsheltered homelessness,Homelessness
ohne obdach,unsheltered homelessness,Homelessness
bez dachu nad głową,unsheltered homelessness,Homelessness
lager,unsheltered homelessness,Homelessness
absolute homelessness,absolute homelessness,Homelessness
sin refugio,absolute homelessness,Homelessness
ohne obdach,absolute homelessness,Homelessness
senza riparo,absolute homelessness,Homelessness
bez schronienia,absolute homelessness,Homelessness
sem abrigo,absolute homelessness,Homelessness
rooflessness,absolute homelessness,Homelessness
absence de toit,absolute homelessness,Homelessness
dachlosigkeit,absolute homelessness,Homelessness
bez dachu,absolute homelessness,Homelessness
sem teto,absolute homelessness,Homelessness
relative homelessness,relative homelessness,Homelessness
falta de vivienda relativa,relative homelessness,Homelessness
sans-abrisme relatif,relative homelessness,Homelessness
relative obdachlosigkeit,relative homelessness,Homelessness
senza fissa dimora relativa,relative homelessness,Homelessness
względna bezdomność,relative homelessness,Homelessness
sem-abrigo relativo,relative homelessness,Homelessness
accommodation for homeless people,accommodation for homeless people,Homelessness
unterkunft,accommodation for homeless people,Homelessness
emergency housing,emergency housing,Transitional housing
emergency,emergency housing,Transitional housing
emergencia,emergency housing,Transitional housing
urgence,emergency housing,Transitional housing
notfall,emergency housing,Transitional housing
emergenza,emergency housing,Transitional housing
nagły wypadek,emergency housing,Transitional housing
emergência,emergency housing,Transitional housing
refuge,emergency housing,Transitional housing
unterkunft,emergency housing,Transitional housing
schronienie,emergency housing,Transitional housing
emergency shelters,emergency shelters,Transitional housing
unterkunft,emergency shelters,Transitional housing
crisis housing,crisis housing,Transitional housing
crisis,crisis housing,Transitional housing
crise,crisis housing,Transitional housing
krise,crisis housing,Transitional housing
crisi,crisis housing,Transitional housing
kryzys,crisis housing,Transitional housing
unterbringung,crisis housing,Transitional housing
disaster shelter,disaster shelter,Transitional housing
disaster,disaster shelter,Transitional housing
desastre,disaster shelter,Transitional housing
catastrophe,disaster shelter,Transitional housing
katastrophe,disaster shelter,Transitional housing
catastrofe,disaster shelter,Transitional housing
katastrofa,disaster shelter,Transitional housing
unterkunft,disaster shelter,Transitional housing
disaster housing,disaster housing,Transitional housing
katastrophe,disaster housing,Transitional housing
disastro,disaster housing,Transitional housing
wohnraum,disaster housing,Transitional housing
temporary shelter / housing,temporary shelter / housing,Transitional housing
temporary,temporary shelter / housing,Transitional housing
temporal,temporary shelter / housing,Transitional housing
temporaire,temporary shelter / housing,Transitional housing
vorübergehend,temporary shelter / housing,Transitional housing
temporaneo,temporary shelter / housing,Transitional housing
tymczasowy,temporary shelter / housing,Transitional housing
temporário,temporary shelter / housing,Transitional housing
unterkunft,temporary shelter / housing,Transitional housing
wohnung,temporary shelter / housing,Transitional housing
refugee shelters,refugee shelters,Transitional housing
refugee,refugee shelters,Transitional housing
refugiado,refugee shelters,Transitional housing
réfugié,refugee shelters,Transitional housing
flüchtling,refugee shelters,Transitional housing
rifugiato,refugee shelters,Transitional housing
uchodźca,refugee shelters,Transitional housing
unterkunft,refugee shelters,Transitional housing
humanitarian shelters,humanitarian shelters,Transitional housing
unterkunft,humanitarian shelters,Transitional housing
camp,humanitarian shelters,Transitional housing
lager,humanitarian shelters,Transitional housing
campo,humanitarian shelters,Transitional housing
temporary supportive housing,temporary supportive housing,Transitional housing
transitional,temporary supportive housing,Transitional housing
transitorio,temporary supportive housing,Transitional housing
transitoire,temporary supportive housing,Transitional housing
przejściowy,temporary supportive housing,Transitional housing
transitório,temporary supportive housing,Transitional housing
emergency accommodation,emergency accommodation,Transitional housing
notunterkunft,emergency accommodation,Transitional housing
post-disaster housing,post-disaster housing,Transitional housing
post-disaster,post-disaster housing,Transitional housing
post-desastre,post-disaster housing,Transitional housing
post-catastrophe,post-disaster housing,Transitional housing
post-katastrophe,post-disaster housing,Transitional housing
post-disastro,post-disaster housing,Transitional housing
post-katastrofa,post-disaster housing,Transitional housing
pós-desastre,post-disaster housing,Transitional housing
shelters for displaced persons,shelters for displaced persons,Transitional housing
unterkunft,shelters for displaced persons,Transitional housing
resettlement,shelters for displaced persons,Transitional housing
reasentamiento,shelters for displaced persons,Transitional housing
réinstallation,shelters for displaced persons,Transitional housing
umsiedlung,shelters for displaced persons,Transitional housing
reinsediamento,shelters for displaced persons,Transitional housing
przesiedlenie,shelters for displaced persons,Transitional housing
reassentamento,shelters for displaced persons,Transitional housing
flüchtling,shelters for displaced persons,Transitional housing
temporary accommodation for refugees,temporary accommodation for refugees ,Transitional housing
flüchtling,temporary accommodation for refugees ,Transitional housing
umsiedlung,temporary accommodation for refugees ,Transitional housing
prefabricated housing,Prefabricated housing,Transitional housing
prefabricated,Prefabricated housing,Transitional housing
prefabricado,Prefabricated housing,Transitional housing
préfabriqué,Prefabricated housing,Transitional housing
vorgefertigt,Prefabricated housing,Transitional housing
prefabbricato,Prefabricated housing,Transitional housing
prefabrykowany,Prefabricated housing,Transitional housing
modular,Prefabricated housing,Transitional housing
modulaire,Prefabricated housing,Transitional housing
modulare,Prefabricated housing,Transitional housing
modułowy,Prefabricated housing,Transitional housing
cash transfers for shelter,Cash transfers for shelter,Transitional housing
cash transfer,Cash transfers for shelter,Transitional housing
transferencia monetaria,Cash transfers for shelter,Transitional housing
transfert d'argent,Cash transfers for shelter,Transitional housing
geldtransfer,Cash transfers for shelter,Transitional housing
trasferimento di denaro,Cash transfers for shelter,Transitional housing
transfer gotówki,Cash transfers for shelter,Transitional housing
transferência de dinheiro,Cash transfers for shelter,Transitional housing
rent voucher,Cash transfers for shelter,Transitional housing
vale de alquiler,Cash transfers for shelter,Transitional housing
bon de loyer,Cash transfers for shelter,Transitional housing
mietgutschein,Cash transfers for shelter,Transitional housing
buono affitto,Cash transfers for shelter,Transitional housing
bon czynszowy,Cash transfers for shelter,Transitional housing
vale de aluguel,Cash transfers for shelter,Transitional housing
housing voucher,Cash transfers for shelter,Transitional housing
vale de vivienda,Cash transfers for shelter,Transitional housing
bon de logement,Cash transfers for shelter,Transitional housing
wohnungsgutschein,Cash transfers for shelter,Transitional housing
buono casa,Cash transfers for shelter,Transitional housing
bon mieszkaniowy,Cash transfers for shelter,Transitional housing
voucher habitacional,Cash transfers for shelter,Transitional housing
shelter voucher,Cash transfers for shelter,Transitional housing
vale de albergue,Cash transfers for shelter,Transitional housing
bon d'hébergement,Cash transfers for shelter,Transitional housing
unterkunftsgutschein,Cash transfers for shelter,Transitional housing
buono alloggio,Cash transfers for shelter,Transitional housing
bon noclegowy,Cash transfers for shelter,Transitional housing
vale de abrigo,Cash transfers for shelter,Transitional housing
gender based violence (gbv) shelters,Gender Based Violence (GBV) shelters ,Transitional housing
gender-based violence,Gender Based Violence (GBV) shelters ,Transitional housing
violencia de género,Gender Based Violence (GBV) shelters ,Transitional housing
violence basée sur le genre,Gender Based Violence (GBV) shelters ,Transitional housing
geschlechterbasierte gewalt,Gender Based Violence (GBV) shelters ,Transitional housing
violenza di genere,Gender Based Violence (GBV) shelters ,Transitional housing
przemoc ze względu na płeć,Gender Based Violence (GBV) shelters ,Transitional housing
violência de gênero,Gender Based Violence (GBV) shelters ,Transitional housing
safehouse,Gender Based Violence (GBV) shelters ,Transitional housing
casa segura,Gender Based Violence (GBV) shelters ,Transitional housing
maison sûre,Gender Based Violence (GBV) shelters ,Transitional housing
sicheres haus,Gender Based Violence (GBV) shelters ,Transitional housing
casa sicura,Gender Based Violence (GBV) shelters ,Transitional housing
bezpieczny dom,Gender Based Violence (GBV) shelters ,Transitional housing
vivienda de transición,Gender Based Violence (GBV) shelters ,Transitional housing
übergangsunterkunft,Gender Based Violence (GBV) shelters ,Transitional housing
mieszkania przejściowe,Gender Based Violence (GBV) shelters ,Transitional housing
habitação transitória,Gender Based Violence (GBV) shelters ,Transitional housing
youth hostels,Youth Hostels ,Transitional housing
hostel,Youth Hostels ,Transitional housing
auberge,Youth Hostels ,Transitional housing
herberge,Youth Hostels ,Transitional housing
ostello,Youth Hostels ,Transitional housing
co-living spaces,Co-living spaces ,Transitional housing
wohngemeinschaft,Co-living spaces ,Transitional housing
tents,tents,Transitional housing
tienda de campaña,tents,Transitional housing
zelt,tents,Transitional housing
shelter kits,shelter kits,Transitional housing
kit,shelter kits,Transitional housing
zestaw,shelter kits,Transitional housing
"non food items (materials, tools and fixings)","non food items (Materials, tools and fixings)",Transitional housing
materials,"non food items (Materials, tools and fixings)",Transitional housing
materiales,"non food items (Materials, tools and fixings)",Transitional housing
matériaux,"non food items (Materials, tools and fixings)",Transitional housing
materialien,"non food items (Materials, tools and fixings)",Transitional housing
materiali,"non food items (Materials, tools and fixings)",Transitional housing
materiały,"non food items (Materials, tools and fixings)",Transitional housing
materiais,"non food items (Materials, tools and fixings)",Transitional housing
tools,"non food items (Materials, tools and fixings)",Transitional housing
herramientas,"non food items (Materials, tools and fixings)",Transitional housing
outils,"non food items (Materials, tools and fixings)",Transitional housing
werkzeuge,"non food items (Materials, tools and fixings)",Transitional housing
utensili,"non food items (Materials, tools and fixings)",Transitional housing
narzędzia,"non food items (Materials, tools and fixings)",Transitional housing
ferramentas,"non food items (Materials, tools and fixings)",Transitional housing
fixings,"non food items (Materials, tools and fixings)",Transitional housing
fijaciones,"non food items (Materials, tools and fixings)",Transitional housing
fixations,"non food items (Materials, tools and fixings)",Transitional housing
befestigungen,"non food items (Materials, tools and fixings)",Transitional housing
